City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Rikitea,PF,2019-12-29 16:29:21,-23.12,-134.97,75.65,80,100,11.48,overcast clouds,0,0
1,Conakry,GN,2019-12-29 16:29:21,9.52,-13.7,87.8,62,0,11.41,haze,0,0
2,Mindelo,PT,2019-12-29 16:29:22,41.31,-8.72,63.0,55,0,0.96,clear sky,0,0
3,Comodoro Rivadavia,AR,2019-12-29 16:27:03,-45.87,-67.48,71.6,43,14,9.17,few clouds,0,0
4,Navahrudak,BY,2019-12-29 16:29:22,53.59,25.82,25.03,82,19,3.85,few clouds,0,0
5,Husavik,CA,2019-12-29 16:29:22,50.56,-96.99,12.0,92,100,5.99,overcast clouds,0,0
6,Busselton,AU,2019-12-29 16:29:22,-33.64,115.35,57.0,54,6,13.89,clear sky,0,0
7,Tasiilaq,GL,2019-12-29 16:29:23,65.61,-37.64,23.0,67,2,6.24,clear sky,0,0
8,Tuatapere,NZ,2019-12-29 16:29:23,-46.13,167.69,53.01,84,100,13.0,overcast clouds,0,0
9,Lagoa,PT,2019-12-29 16:26:24,37.14,-8.45,64.0,67,0,12.75,clear sky,0,0
10,Herat,AF,2019-12-29 16:29:23,34.35,62.22,42.8,56,86,3.36,overcast clouds,0,0
11,Ushuaia,AR,2019-12-29 16:29:23,-54.81,-68.31,51.8,53,40,32.21,scattered clouds,0,0
12,La Ronge,CA,2019-12-29 16:29:24,55.1,-105.3,3.2,84,40,8.05,scattered clouds,0,0
13,Mataura,NZ,2019-12-29 16:29:24,-46.19,168.86,53.01,84,84,13.0,broken clouds,0,0
14,Rawson,AR,2019-12-29 16:29:24,-43.3,-65.11,66.96,57,5,8.05,clear sky,0,0
15,Kiboga,UG,2019-12-29 16:29:24,0.92,31.77,79.56,51,0,3.89,clear sky,0,0
16,Punta Arenas,CL,2019-12-29 16:28:47,-53.16,-70.91,60.8,36,77,20.8,broken clouds,0,0
17,Konstantinovka,UA,2019-12-29 16:29:25,46.85,29.85,36.37,86,100,11.77,light snow,0,0.19
18,Albany,US,2019-12-29 16:28:28,42.65,-73.75,39.0,69,75,2.13,broken clouds,0,0
19,Narsaq,GL,2019-12-29 16:29:25,60.91,-46.05,26.6,86,75,2.24,broken clouds,0,0
20,Lavrentiya,RU,2019-12-29 16:29:26,65.58,-170.99,-6.36,86,0,8.12,clear sky,0,0
21,Pevek,RU,2019-12-29 16:29:26,69.7,170.27,-13.02,97,100,13.06,light snow,0,0.19
22,Ancud,CL,2019-12-29 16:29:26,-41.87,-73.83,66.2,42,2,6.93,clear sky,0,0
23,Provideniya,RU,2019-12-29 16:27:59,64.42,-173.23,-2.36,74,0,12.5,clear sky,0,0
24,Saint-Georges,CA,2019-12-29 16:28:38,46.12,-70.67,27.0,68,89,5.01,overcast clouds,0,0
25,Kasongo-Lunda,CD,2019-12-29 16:29:27,-6.48,16.82,76.08,72,100,0.94,overcast clouds,0,0
26,Scalea,IT,2019-12-29 16:29:27,39.82,15.79,45.0,58,94,7.0,light snow,0,0.25
27,Vao,EE,2019-12-29 16:29:27,59.1,26.19,32.23,91,100,14.94,overcast clouds,0,0
28,Oudtshoorn,ZA,2019-12-29 16:29:27,-33.59,22.2,66.2,93,90,11.41,overcast clouds,0,0
29,Cabo San Lucas,MX,2019-12-29 16:25:06,22.89,-109.91,66.99,59,5,3.36,clear sky,0,0
30,Hithadhoo,MV,2019-12-29 16:29:28,-0.6,73.08,83.23,75,100,9.55,overcast clouds,0,0
31,Saint-Philippe,CA,2019-12-29 16:29:28,45.36,-73.48,34.0,62,90,5.82,overcast clouds,0,0
32,Hobart,AU,2019-12-29 16:25:45,-42.88,147.33,61.0,87,90,4.7,overcast clouds,0,0
33,Saint George,GR,2019-12-29 16:29:28,39.45,22.34,42.8,52,75,6.93,broken clouds,0,0
34,Carnarvon,ZA,2019-12-29 16:29:29,-30.97,22.13,85.98,20,58,17.81,broken clouds,0,0
35,Vaini,IN,2019-12-29 16:29:29,15.34,74.49,69.28,75,13,3.11,light rain,0.25,0
36,Castro,CL,2019-12-29 16:29:29,-42.48,-73.76,66.2,42,1,6.93,clear sky,0,0
37,San Carlos,NI,2019-12-29 16:29:29,11.12,-84.78,75.0,31,96,6.08,light rain,0.5,0
38,Kaitangata,NZ,2019-12-29 16:29:30,-46.28,169.85,55.99,74,100,7.0,overcast clouds,0,0
39,Chicama,PE,2019-12-29 16:29:30,-7.84,-79.15,69.8,88,75,10.29,broken clouds,0,0
40,Daru,PG,2019-12-29 16:29:30,-9.07,143.21,75.85,92,88,2.64,overcast clouds,0,0
41,Longyearbyen,NO,2019-12-29 16:26:25,78.22,15.63,15.8,56,40,11.41,scattered clouds,0,0
42,Bukachacha,RU,2019-12-29 16:29:31,52.99,116.91,-24.21,93,0,3.69,clear sky,0,0
43,Watrous,CA,2019-12-29 16:29:32,51.67,-105.46,7.97,91,0,1.12,clear sky,0,0
44,Jamestown,AU,2019-12-29 16:26:25,-33.21,138.6,82.54,32,90,12.08,light rain,0.94,0
45,Bambous Virieux,MU,2019-12-29 16:29:32,-20.34,57.76,77.0,94,75,11.41,light intensity shower rain,0,0
46,Mezen,RU,2019-12-29 16:29:32,65.85,44.24,21.38,68,100,20.76,overcast clouds,0,0
47,Port Alfred,ZA,2019-12-29 16:29:33,-33.59,26.89,70.0,93,7,18.32,light rain,0.31,0
48,Bredasdorp,ZA,2019-12-29 16:29:33,-34.53,20.04,73.99,60,86,14.99,overcast clouds,0,0
49,Dikson,RU,2019-12-29 16:29:33,73.51,80.55,-9.33,94,100,27.22,light snow,0,0.13
50,Huambo,AO,2019-12-29 16:29:33,-12.78,15.73,69.8,83,75,5.82,moderate rain,0,0
51,Tiksi,RU,2019-12-29 16:27:59,71.64,128.87,-20.2,83,100,12.93,overcast clouds,0,0
52,Ust-Nera,RU,2019-12-29 16:29:34,64.57,143.24,-36.33,100,92,2.75,overcast clouds,0,0
53,Qaanaaq,GL,2019-12-29 16:27:57,77.48,-69.36,2.75,90,100,9.06,light snow,0,0.25
54,Hermanus,ZA,2019-12-29 16:29:34,-34.42,19.24,78.01,62,0,13.0,clear sky,0,0
55,Winneba,GH,2019-12-29 16:29:34,5.35,-0.62,87.8,66,5,9.17,clear sky,0,0
56,Yellowknife,CA,2019-12-29 16:25:11,62.45,-114.38,-13.0,83,75,12.75,light snow,0,0
57,Yulara,AU,2019-12-29 16:29:35,-25.24,130.99,82.4,51,96,6.93,overcast clouds,0,0
58,Khorramabad,IR,2019-12-29 16:29:35,33.48,48.35,40.66,61,0,1.05,clear sky,0,0
59,San Policarpo,PH,2019-12-29 16:29:35,12.18,125.51,81.05,77,0,10.85,clear sky,0,0
60,Tuktoyaktuk,CA,2019-12-29 16:29:36,69.44,-133.03,-23.8,74,75,12.75,broken clouds,0,0
61,Middelburg,NL,2019-12-29 16:29:36,51.5,3.61,42.01,75,100,10.29,overcast clouds,0,0
62,Cape Town,ZA,2019-12-29 16:29:36,-33.93,18.42,78.01,53,0,17.22,clear sky,0,0
63,Kloulklubed,PW,2019-12-29 16:29:37,7.04,134.26,80.6,78,75,11.41,broken clouds,0,0
64,Zinder,NE,2019-12-29 16:29:37,13.81,8.99,82.4,12,0,9.17,clear sky,0,0
65,Baykit,RU,2019-12-29 16:29:37,61.68,96.39,-13.47,98,100,3.65,light snow,0,0.13
66,Port Elizabeth,US,2019-12-29 16:29:38,39.31,-74.98,51.01,70,75,8.05,broken clouds,0,0
67,Dingle,PH,2019-12-29 16:29:38,11.0,122.67,72.43,77,0,9.22,clear sky,0,0
68,Catemaco,MX,2019-12-29 16:29:38,18.42,-95.11,80.6,69,90,11.41,overcast clouds,0,0
69,Esperance,AU,2019-12-29 16:29:38,-33.86,121.89,64.4,72,90,17.22,overcast clouds,0,0
70,Santa Cruz Del Sur,CU,2019-12-29 16:29:39,20.71,-78.0,77.67,84,2,17.54,clear sky,0,0
71,Hilo,US,2019-12-29 16:29:39,19.71,-155.08,71.6,83,90,6.93,overcast clouds,0,0
72,Taoudenni,ML,2019-12-29 16:29:39,22.68,-3.98,83.52,8,0,14.23,clear sky,0,0
73,Cotonou,BJ,2019-12-29 16:29:39,6.37,2.43,91.4,41,3,8.05,dust,0,0
74,Khatanga,RU,2019-12-29 16:29:39,71.98,102.47,-21.82,96,100,5.64,overcast clouds,0,0
75,Namibe,AO,2019-12-29 16:29:40,-15.19,12.15,73.26,90,100,11.27,light rain,1.88,0
76,Kulhudhuffushi,MV,2019-12-29 16:29:40,6.62,73.07,81.66,78,33,13.82,scattered clouds,0,0
77,Upernavik,GL,2019-12-29 16:29:40,72.79,-56.15,10.17,85,94,9.71,overcast clouds,0,0
78,Coihaique,CL,2019-12-29 16:29:40,-45.58,-72.07,66.2,39,98,5.82,overcast clouds,0,0
79,Broken Hill,AU,2019-12-29 16:29:40,-31.97,141.45,87.8,23,19,10.29,few clouds,0,0
80,Kropotkin,RU,2019-12-29 16:29:41,45.43,40.58,44.01,65,99,11.25,overcast clouds,0,0
81,Arraial Do Cabo,BR,2019-12-29 16:29:41,-22.97,-42.02,87.8,66,100,12.75,overcast clouds,0,0
82,Atuona,PF,2019-12-29 16:25:10,-9.8,-139.03,80.64,75,94,15.57,light rain,0.13,0
83,Boa Vista,BR,2019-12-29 16:29:18,2.82,-60.67,87.8,48,75,12.75,broken clouds,0,0
84,Bluff,AU,2019-12-29 16:24:43,-23.58,149.07,71.71,79,21,11.3,few clouds,0,0
85,Mount Isa,AU,2019-12-29 16:29:42,-20.73,139.49,82.4,39,8,4.81,clear sky,0,0
86,Tateyama,JP,2019-12-29 16:29:42,36.66,137.31,42.01,71,100,6.11,overcast clouds,0,0
87,Sturgeon Bay,US,2019-12-29 16:29:42,44.83,-87.38,46.0,100,90,9.17,light rain,0,0
88,Kruisfontein,ZA,2019-12-29 16:29:42,-34.0,24.73,72.59,74,80,17.58,broken clouds,0,0
89,Katsuura,JP,2019-12-29 16:29:43,33.93,134.5,48.99,100,75,4.7,light intensity shower rain,0,0
90,Quang Ngai,VN,2019-12-29 16:29:43,15.12,108.8,74.53,84,98,19.06,overcast clouds,0,0
91,Butaritari,KI,2019-12-29 16:29:43,3.07,172.79,83.05,74,0,15.46,clear sky,0,0
92,Sankt Johann Im Pongau,AT,2019-12-29 16:29:43,47.35,13.2,30.0,79,19,3.36,few clouds,0,0
93,Denpasar,ID,2019-12-29 16:28:20,-8.65,115.22,84.2,83,20,4.7,few clouds,0,0
94,Kapaa,US,2019-12-29 16:29:44,22.08,-159.32,71.6,88,75,10.29,light rain,0,0
95,Katobu,ID,2019-12-29 16:29:44,-4.94,122.53,75.34,92,100,2.42,overcast clouds,0,0
96,Barrow,AR,2019-12-29 16:29:44,-38.31,-60.23,79.95,54,78,7.38,broken clouds,0,0
97,Mount Pleasant,US,2019-12-29 16:29:44,33.16,-94.97,55.4,87,1,5.82,light rain,0,0
98,Hay River,CA,2019-12-29 16:29:45,60.82,-115.79,-9.4,69,90,13.87,overcast clouds,0,0
99,Aviles,ES,2019-12-29 16:29:45,43.55,-5.92,61.0,67,8,1.12,clear sky,0,0
100,Mackay,CA,2019-12-29 16:29:45,53.65,-115.58,15.8,92,20,2.24,few clouds,0,0
101,Iqaluit,CA,2019-12-29 16:29:45,63.75,-68.52,-2.2,77,75,9.17,broken clouds,0,0
102,Presidencia Roque Saenz Pena,AR,2019-12-29 16:29:45,-26.79,-60.44,101.12,28,99,6.42,overcast clouds,0,0
103,Mahebourg,MU,2019-12-29 16:26:26,-20.41,57.7,77.0,94,75,11.41,light intensity shower rain,0,0
104,Kodiak,US,2019-12-29 16:29:46,39.95,-94.76,41.0,76,90,16.11,overcast clouds,0,0
105,Cherskiy,RU,2019-12-29 16:29:50,68.75,161.3,-26.91,99,100,5.35,overcast clouds,0,0
106,Takoradi,GH,2019-12-29 16:29:50,4.89,-1.75,84.52,69,42,12.08,scattered clouds,0,0
107,Egvekinot,RU,2019-12-29 16:29:50,66.32,-179.17,-5.51,61,0,7.09,clear sky,0,0
108,Mar Del Plata,AR,2019-12-29 16:28:00,-46.43,-67.52,73.4,31,9,10.67,clear sky,0,0
109,Isangel,VU,2019-12-29 16:29:50,-19.55,169.27,69.8,88,38,17.47,light rain,0.25,0
110,Nanortalik,GL,2019-12-29 16:29:51,60.14,-45.24,30.2,70,100,13.15,overcast clouds,0,0
111,Pisco,PE,2019-12-29 16:29:51,-13.71,-76.2,73.0,30,20,10.29,mist,0,0
112,Beloha,MG,2019-12-29 16:29:51,-25.17,45.06,86.72,57,0,16.15,clear sky,0,0
113,Banda Aceh,ID,2019-12-29 16:29:51,5.56,95.32,75.0,93,53,3.2,light rain,0.81,0
114,Fallon,US,2019-12-29 16:29:52,46.84,-105.12,19.99,100,90,12.75,overcast clouds,0,0
115,Katangli,RU,2019-12-29 16:29:52,51.71,143.23,-3.91,92,76,9.31,broken clouds,0,0
116,Ales,FR,2019-12-29 16:29:52,44.13,4.08,50.0,71,93,4.7,overcast clouds,0,0
117,Coquimbo,CL,2019-12-29 16:29:53,-29.95,-71.34,66.2,68,40,17.22,scattered clouds,0,0
118,Tanhacu,BR,2019-12-29 16:29:53,-14.02,-41.25,90.68,38,71,5.23,broken clouds,0,0
119,Saldanha,PT,2019-12-29 16:29:53,41.42,-6.55,55.89,51,8,2.82,clear sky,0,0
120,Ahuimanu,US,2019-12-29 16:29:54,21.44,-157.84,77.0,78,90,8.05,overcast clouds,0,0
121,Tautira,PF,2019-12-29 16:29:54,-17.73,-149.15,77.0,78,75,2.24,broken clouds,0,0
122,Chuy,UY,2019-12-29 16:29:54,-33.69,-53.46,92.41,48,0,1.28,clear sky,0,0
123,Chokurdakh,RU,2019-12-29 16:28:05,70.62,147.9,-30.84,88,0,6.15,clear sky,0,0
124,Pangnirtung,CA,2019-12-29 16:29:55,66.15,-65.72,-10.43,88,3,3.11,clear sky,0,0
125,Torbay,CA,2019-12-29 16:26:24,47.66,-52.73,33.01,86,75,21.92,light rain,0,0
126,Clyde River,CA,2019-12-29 16:26:24,70.47,-68.59,17.6,67,90,21.92,overcast clouds,0,0
127,Beni Mazar,EG,2019-12-29 16:29:55,28.5,30.8,59.07,41,0,6.76,clear sky,0,0
128,Kamenka,MD,2019-12-29 16:29:56,48.03,28.7,30.0,86,100,12.3,light snow,0,0.19
129,Waiouru,NZ,2019-12-29 16:29:56,-39.48,175.67,51.04,90,90,7.4,overcast clouds,0,0
130,Zhob,PK,2019-12-29 16:29:56,31.34,69.45,45.9,33,0,3.83,clear sky,0,0
131,Lebu,ET,2019-12-29 16:29:56,8.96,38.73,60.8,48,40,11.41,scattered clouds,0,0
132,Prattville,US,2019-12-29 16:29:56,32.46,-86.46,70.0,100,90,3.36,light rain,0,0
133,Cayenne,GF,2019-12-29 16:29:57,4.94,-52.33,87.8,62,40,13.87,scattered clouds,0,0
134,Sibolga,ID,2019-12-29 16:27:20,1.74,98.78,72.57,97,83,2.62,light rain,2.31,0
135,Flinders,AU,2019-12-29 16:29:57,-34.58,150.85,70.0,100,90,2.24,overcast clouds,0,0
136,Ribeira Grande,PT,2019-12-29 16:29:57,38.52,-28.7,62.6,59,20,11.41,few clouds,0,0
137,Lima,PE,2019-12-29 16:29:57,-12.06,-77.04,75.2,73,40,9.17,scattered clouds,0,0
138,Horconcitos,PA,2019-12-29 16:29:58,8.47,-81.8,78.51,72,28,5.86,scattered clouds,0,0
139,Ahipara,NZ,2019-12-29 16:28:28,-35.17,173.16,53.01,100,0,10.31,clear sky,0,0
140,Villa Maria,CO,2019-12-29 16:29:58,4.5,-74.09,87.8,43,40,9.17,scattered clouds,0,0
141,Pankovka,RU,2019-12-29 16:29:58,58.5,31.2,24.8,81,19,8.28,few clouds,0,0
142,Ostrovnoy,RU,2019-12-29 16:28:01,68.05,39.51,28.22,86,96,36.62,light snow,0,1.06
143,Xuddur,SO,2019-12-29 16:29:59,4.12,43.89,87.73,36,91,15.73,overcast clouds,0,0
144,Barmer,IN,2019-12-29 16:29:59,25.74,71.4,62.8,17,0,9.42,clear sky,0,0
145,Vana-Vigala,EE,2019-12-29 16:29:59,58.78,24.25,39.0,86,90,16.11,light rain,0,0
146,Lyubech,UA,2019-12-29 16:29:59,51.7,30.66,28.94,86,100,8.3,overcast clouds,0,0
147,Duminichi,RU,2019-12-29 16:29:59,53.93,35.11,24.46,86,94,3.02,overcast clouds,0,0
148,Okhotsk,RU,2019-12-29 16:30:00,59.36,143.24,7.57,73,100,7.11,overcast clouds,0,0
149,Bethel,US,2019-12-29 16:25:05,60.79,-161.76,-22.0,74,1,6.93,clear sky,0,0
150,Zonguldak,TR,2019-12-29 16:30:00,41.25,31.83,32.92,92,100,2.37,light snow,0,0.19
151,Viedma,AR,2019-12-29 16:30:00,-40.81,-62.99,87.84,16,0,10.11,clear sky,0,0
152,Abeche,TD,2019-12-29 16:30:01,13.83,20.83,89.6,14,25,4.7,scattered clouds,0,0
153,Pitkyaranta,RU,2019-12-29 16:30:01,61.57,31.48,32.34,88,100,24.49,light snow,0,1.13
154,Sorland,NO,2019-12-29 16:30:01,67.67,12.69,44.6,100,75,16.11,moderate rain,0,0
155,Saskylakh,RU,2019-12-29 16:25:34,71.97,114.09,-18.83,95,100,12.06,overcast clouds,0,0
156,Santana Do Acarau,BR,2019-12-29 16:30:02,-3.46,-40.21,94.06,39,94,7.72,overcast clouds,0,0
157,Walvis Bay,NA,2019-12-29 16:30:02,-22.95,14.51,73.4,56,49,16.11,scattered clouds,0,0
158,Luganville,VU,2019-12-29 16:30:03,-15.51,167.18,78.8,83,7,6.93,clear sky,0,0
159,Airai,TL,2019-12-29 16:30:03,-8.93,125.41,68.07,94,99,2.51,overcast clouds,0,0
160,Paso De Los Toros,UY,2019-12-29 16:30:04,-32.81,-56.52,87.8,55,20,5.08,few clouds,0,0
161,La Primavera,AR,2019-12-29 16:30:04,-32.92,-68.67,89.6,35,75,8.05,broken clouds,0,0
162,Lasa,CY,2019-12-29 16:30:04,34.92,32.53,55.4,87,75,11.41,thunderstorm with light rain,0,0
163,Okha,RU,2019-12-29 16:30:05,53.59,142.95,-1.79,96,100,15.93,light snow,0,0.56
164,Buraydah,SA,2019-12-29 16:30:08,26.33,43.97,68.0,40,0,3.36,clear sky,0,0
165,Pombia,GR,2019-12-29 16:30:08,35.01,24.87,50.0,87,75,7.7,light rain,0,0
166,Dalbandin,PK,2019-12-29 16:30:08,28.9,64.41,54.18,47,0,1.99,clear sky,0,0
167,Saint-Joseph,FR,2019-12-29 16:30:09,43.56,6.97,53.6,76,78,1.12,broken clouds,0,0
168,Buldana,IN,2019-12-29 16:30:09,20.53,76.18,65.17,44,100,13.31,overcast clouds,0,0
169,Kinablangan,PH,2019-12-29 16:30:09,7.69,126.55,70.12,90,75,4.76,light rain,0.75,0
170,Ponta Do Sol,BR,2019-12-29 16:30:10,-20.63,-46.0,81.36,58,64,3.53,light rain,0.19,0
171,Lorengau,PG,2019-12-29 16:30:10,-2.02,147.27,82.87,72,93,5.77,overcast clouds,0,0
172,Praia Da Vitoria,PT,2019-12-29 16:30:10,38.73,-27.07,62.6,67,40,9.84,light intensity shower rain,0,0
173,Seoul,KR,2019-12-29 16:28:13,37.57,126.98,41.0,86,90,2.53,light rain,0,0
174,Sweetwater,US,2019-12-29 16:30:11,32.47,-100.41,42.01,55,40,12.75,scattered clouds,0,0
175,Tikrit,IQ,2019-12-29 16:30:11,34.62,43.68,55.06,55,0,7.09,clear sky,0,0
176,Elmina,GH,2019-12-29 16:30:11,5.09,-1.35,82.9,74,40,12.12,scattered clouds,0,0
177,East London,ZA,2019-12-29 16:30:11,-33.02,27.91,78.8,61,93,13.87,overcast clouds,0,0
178,Kashirskoye,RU,2019-12-29 16:30:11,51.42,39.61,21.2,79,90,4.47,overcast clouds,0,0
179,Jalingo,NG,2019-12-29 16:30:12,10.3,10.93,70.43,20,9,7.02,clear sky,0,0
180,Te Anau,NZ,2019-12-29 16:28:03,-45.41,167.72,52.39,91,100,8.01,overcast clouds,0,0
181,Raiwind,PK,2019-12-29 16:30:12,31.24,74.22,42.8,87,1,0.31,mist,0,0
